time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-02-22T04:14:30.100Z,35.7366,-3.5222,10,4.6,mb,,74,2.291,0.71,us,us10004rmk,2016-05-03T23:44:16.040Z,"65km N of Boudinar, Morocco",earthquake,7.6,1.8,0.088,39,reviewed,us,us
2016-02-22T03:46:02.460Z,35.7375,-3.5108,10,5.1,mww,,25,2.3,0.77,us,us10004rmh,2016-11-10T22:13:33.182Z,"65km N of Boudinar, Morocco",earthquake,6.1,1.8,,,reviewed,us,us
2016-02-08T11:21:43.780Z,35.3652,-3.8782,8.47,4.2,mb,,129,3.207,0.61,us,us20004ypx,2016-04-19T01:33:24.040Z,"14km NNE of Al Hoceima, Morocco",earthquake,8.9,7.6,0.371,2,reviewed,us,us
2016-02-05T09:04:41.120Z,35.6181,-3.8796,10,4.3,mb,,109,2.861,0.89,us,us20004z1n,2016-04-19T01:33:19.040Z,"41km N of Al Hoceima, Morocco",earthquake,7.7,1.9,0.218,6,reviewed,us,us
2016-02-05T09:02:59.050Z,35.5909,-3.7731,10,4.4,mb,,135,2.99,0.62,us,us20004z1m,2016-04-19T01:33:19.040Z,"41km NNE of Al Hoceima, Morocco",earthquake,7,2,0.269,4,reviewed,us,us
2016-02-03T21:27:49.390Z,35.6091,-3.7462,10,4,mb,,111,2.962,1.13,us,us20004y5r,2016-04-14T22:51:42.040Z,"43km NNE of Al Hoceima, Morocco",earthquake,4.2,2,0.172,9,reviewed,us,us
2016-02-01T23:50:48.860Z,35.4566,-3.8528,10,4.2,mb,,128,2.157,0.84,us,us20004weu,2016-04-14T22:51:39.040Z,"24km NNE of Al Hoceima, Morocco",earthquake,8.3,1.9,0.152,12,reviewed,us,us
2016-01-29T01:16:20.570Z,35.4263,-3.8032,10,4.1,mb,,130,2.208,1,us,us20004wtz,2016-04-14T22:51:32.040Z,"23km NNE of Al Hoceima, Morocco",earthquake,6.9,1.9,0.197,7,reviewed,us,us
2016-01-28T19:48:51.250Z,35.452,-3.821,10,4.5,mb,,101,2.182,0.8,us,us20004vbu,2016-04-08T23:06:19.040Z,"25km NNE of Al Hoceima, Morocco",earthquake,3.5,1.8,0.074,53,reviewed,us,us
2016-01-27T21:57:49.590Z,35.5796,-3.7851,10,4.3,mb,,90,0.708,1.39,us,us20004wc1,2016-04-08T23:06:18.040Z,"39km NNE of Al Hoceima, Morocco",earthquake,4.4,1.7,0.143,14,reviewed,us,us
2016-01-27T06:32:07.970Z,35.6728,-3.568,10,4.9,mb,,32,2.278,0.89,us,us20004uze,2016-11-10T22:10:18.406Z,"57km NE of Al Hoceima, Morocco",earthquake,6.1,1.8,0.036,270,reviewed,us,us
2016-01-26T04:35:59.240Z,35.5265,-3.6992,10,4.5,mb,,140,2.238,0.8,us,us20004ult,2016-04-08T23:06:15.040Z,"37km NNE of Al Hoceima, Morocco",earthquake,7.3,1.9,0.1,29,reviewed,us,us
2016-01-26T01:16:45.990Z,35.4901,-3.9411,1.2,4.1,mwr,,209,3.159,0.62,us,us20004vkl,2016-04-08T23:06:15.040Z,"27km N of Al Hoceima, Morocco",earthquake,7.2,6.2,0.054,33,reviewed,us,us
2016-01-25T18:17:33.430Z,35.5913,-3.7694,10,4.1,mb,,98,2.158,0.73,us,us10004h4a,2016-04-08T23:06:14.040Z,"41km NNE of Al Hoceima, Morocco",earthquake,8,1.9,0.123,18,reviewed,us,us
2016-01-25T16:02:43.560Z,35.5363,-3.7839,10,4.3,mb,,127,2.171,0.73,us,us10004h36,2016-04-08T23:06:14.040Z,"35km NNE of Al Hoceima, Morocco",earthquake,5.6,1.8,0.106,25,reviewed,us,us
2016-01-25T14:52:42.740Z,35.739,-3.5856,10,4.9,mb,,32,2.242,0.58,us,us10004h2m,2016-11-10T22:09:54.447Z,"63km NNE of Al Hoceima, Morocco",earthquake,5.9,1.8,0.037,225,reviewed,us,us
2016-01-25T11:29:23.070Z,35.4901,-3.7475,21.43,4.4,mb,,228,3.044,0.57,us,us20004vk3,2016-04-08T23:06:14.040Z,"32km NNE of Al Hoceima, Morocco",earthquake,10.7,6.9,0.24,5,reviewed,us,us
2016-01-25T08:25:06.100Z,35.5453,-3.6703,10,4.7,mb,,96,2.251,0.76,us,us10004h0q,2016-04-08T23:06:14.040Z,"41km NE of Al Hoceima, Morocco",earthquake,7,1.9,0.078,50,reviewed,us,us
2016-01-25T08:15:29.050Z,35.6955,-3.6741,10,4.1,mb,,114,2.189,0.68,us,us20004vjq,2016-04-08T23:06:14.040Z,"55km NNE of Al Hoceima, Morocco",earthquake,6.8,2,0.37,2,reviewed,us,us
2016-01-25T07:55:15.780Z,35.4917,-3.8394,10,4.2,mb,,128,2.151,0.52,us,us20004vjn,2016-04-08T23:06:14.040Z,"28km NNE of Al Hoceima, Morocco",earthquake,4.3,1.9,0.373,2,reviewed,us,us
2016-01-25T06:10:41.960Z,35.5051,-3.8783,10,5.2,mb,,34,2.116,0.71,us,us10004gzj,2016-11-10T22:09:50.394Z,"29km N of Al Hoceima, Morocco",earthquake,5.9,1.8,0.031,343,reviewed,us,us
2016-01-25T05:54:05.460Z,35.4764,-3.7734,10,5.1,mwr,,32,2.206,0.71,us,us10004gzd,2016-11-10T22:09:49.194Z,"29km NNE of Al Hoceima, Morocco",earthquake,6,1.8,0.063,24,reviewed,us,us
2016-01-25T05:37:11.890Z,35.4992,-3.8211,10,4.2,mb,,100,2.161,1.05,us,us10004gz8,2016-04-08T23:06:13.040Z,"30km NNE of Al Hoceima, Morocco",earthquake,6.6,1.9,0.176,9,reviewed,us,us
2016-01-25T05:03:46.300Z,35.6749,-3.7449,10,4.7,mb,,97,2.143,0.98,us,us10004gyu,2016-04-08T23:06:13.040Z,"50km NNE of Al Hoceima, Morocco",earthquake,6.6,1.8,0.065,72,reviewed,us,us
2016-01-25T04:34:19.170Z,35.6805,-3.723,10,5.3,mb,,37,2.158,0.92,us,us10004gyj,2016-04-08T23:06:13.040Z,"52km NNE of Al Hoceima, Morocco",earthquake,3.3,1.8,0.032,324,reviewed,us,us
2016-01-25T04:30:55.190Z,35.5953,-3.8166,10,5,mb,,58,2.122,0.79,us,us10004gz3,2016-04-08T23:06:13.040Z,"40km NNE of Al Hoceima, Morocco",earthquake,6.2,1.8,0.071,64,reviewed,us,us
2016-01-25T04:22:02.730Z,35.6493,-3.6818,12,6.3,mww,,20,2.201,0.92,us,us10004gy9,2017-10-11T21:21:23.299Z,"50km NNE of Al Hoceima, Morocco",earthquake,5.9,1.7,,,reviewed,us,us
2016-01-21T13:47:19.860Z,35.6247,-3.6499,10,5.1,mwr,,65,2.234,0.85,us,us10004g3i,2016-11-10T22:09:21.305Z,"49km NNE of Al Hoceima, Morocco",earthquake,7.5,1.8,,,reviewed,us,mdd
2015-03-06T04:01:49.340Z,34.896,-2.8022,5,4.3,mb,,76,0.411,1.05,us,usc000tvft,2015-05-28T00:48:34.040Z,"8km SW of Zaio, Morocco",earthquake,5,1.9,0.161,13,reviewed,us,us
2015-01-29T04:29:07.430Z,30.2995,-9.6366,16.12,4.1,mb,,85,4.368,0.43,us,usc000tk89,2015-05-02T14:06:08.040Z,"11km WSW of Inezgane, Morocco",earthquake,6.5,6.1,0.197,8,reviewed,us,us
