time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-09-18T01:52:26.450Z,-10.7435,123.3824,10,4.4,mb,,118,1.312,0.85,us,us2000hjst,2018-11-27T15:52:04.040Z,"67km SSW of Kupang, Indonesia",earthquake,3.9,1.9,0.17,10,reviewed,us,us
2018-09-16T04:56:25.520Z,-34.3146,116.759,10,5.3,mww,,42,1.44,1.39,us,us2000hfcw,2018-11-21T18:19:12.040Z,"56km E of Manjimup, Australia",earthquake,8.8,1.7,0.083,14,reviewed,us,us
2018-09-14T21:51:47.260Z,-32.3666,150.801,10,3.9,mb,,186,2.067,0.39,us,us2000hg1x,2018-11-21T18:19:13.040Z,"11km E of Denman, Australia",earthquake,10.1,2,0.258,4,reviewed,us,us
2018-09-11T15:33:49.450Z,-10.6495,121.6211,10,4.3,mb,,172,2.091,0.64,us,us2000hh6k,2018-11-21T18:19:14.040Z,"113km SE of Mburukullu, Indonesia",earthquake,7.5,2,0.187,8,reviewed,us,us
2018-09-10T21:55:19.750Z,-12.8312,122.6771,10,4.5,mb,,73,3.431,1.03,us,us2000hc5a,2018-11-21T18:19:08.040Z,"South of Timor",earthquake,7.3,1.9,0.156,12,reviewed,us,us
2018-09-01T01:07:59.120Z,-10.7558,124.3621,10,4,mb,,112,0.998,1.23,us,us2000hafw,2018-11-07T18:37:12.040Z,"99km S of Soe, Indonesia",earthquake,7.1,2,0.26,4,reviewed,us,us
2018-08-31T22:12:57.660Z,-10.687,124.3931,10,4.4,mb,,111,0.934,0.97,us,us2000haf0,2018-11-07T18:37:12.040Z,"92km S of Soe, Indonesia",earthquake,6.2,1.6,0.219,6,reviewed,us,us
2018-08-31T21:53:35.140Z,-10.8152,124.2802,10,5.1,mww,,92,1.053,0.78,us,us2000h69g,2018-11-07T18:37:07.040Z,"104km SE of Kupang, Indonesia",earthquake,5.4,1.8,0.063,24,reviewed,us,us
2018-08-28T13:22:38.360Z,-10.781,124.2671,10,4.6,mb,,114,1.019,0.77,us,us2000h99b,2018-11-07T18:37:10.040Z,"101km SE of Kupang, Indonesia",earthquake,7.7,1.7,0.193,8,reviewed,us,us
2018-08-28T11:55:45.260Z,-10.871,124.2173,10,5,mww,,62,1.109,1,us,us1000gijz,2018-11-07T18:37:03.040Z,"104km SE of Kupang, Indonesia",earthquake,5.8,1.7,0.069,20,reviewed,us,us
2018-08-28T11:03:56.640Z,-10.8386,124.2837,10,4.4,mb,,68,1.076,1.06,us,us2000h992,2018-11-07T18:37:10.040Z,"106km SE of Kupang, Indonesia",earthquake,7.4,1.9,0.154,12,reviewed,us,us
2018-08-28T09:44:32.260Z,-10.8193,124.5399,10,4.1,mb,,111,1.09,1.08,us,us2000h999,2018-11-07T18:37:10.040Z,"109km SSE of Soe, Indonesia",earthquake,5.6,2,0.303,3,reviewed,us,us
2018-08-28T08:43:14.380Z,-10.7748,124.3034,10,4.4,mb,,104,1.013,1.42,us,us2000h98y,2018-11-07T18:37:10.040Z,"101km S of Soe, Indonesia",earthquake,2.8,1.9,0.135,16,reviewed,us,us
2018-08-28T08:40:55.530Z,-10.674,124.3738,10,4.5,mb,,112,0.919,1.03,us,us2000h998,2018-11-07T18:37:10.040Z,"90km S of Soe, Indonesia",earthquake,6.5,1.9,0.164,11,reviewed,us,us
2018-08-28T07:13:32.150Z,-10.631,124.1363,8.18,5.7,mww,,82,0.879,1.21,us,us1000giie,2018-11-07T18:37:03.040Z,"79km SE of Kupang, Indonesia",earthquake,7.3,3.4,0.089,12,reviewed,us,us
2018-08-28T07:08:11.360Z,-10.773,124.1871,14,6.2,mww,,74,1.014,1.4,us,us1000gii0,2018-11-07T18:37:03.040Z,"94km SE of Kupang, Indonesia",earthquake,8.9,1.8,0.053,34,reviewed,us,us
2018-08-08T14:19:15.940Z,-32.3586,122.4347,10.35,4.1,mb,,84,4.419,0.73,us,us1000g5gz,2018-10-17T18:11:58.040Z,"174km NNE of Esperance, Australia",earthquake,7.2,6.3,0.184,8,reviewed,us,us
2018-08-08T11:01:39.000Z,-34.877,139.184,13,3.2,ml,,,,0.2,us,us1000g5at,2018-10-17T18:11:56.040Z,"12km WNW of Mannum, Australia",earthquake,8.5,4.7,,,reviewed,aust,aust
2018-08-06T12:06:25.230Z,-11.3772,118.2102,10,4.9,mb,,43,4.812,1.31,us,us1000g42x,2018-10-17T18:11:56.040Z,"210km SSW of Panenggoede, Indonesia",earthquake,7.5,1.9,0.076,54,reviewed,us,us
2018-08-01T09:21:01.290Z,-10.561,123.9106,10,4.1,mb,,119,0.874,0.58,us,us1000g472,2018-10-16T15:34:16.040Z,"56km SE of Kupang, Indonesia",earthquake,7.3,1.9,0.185,8,reviewed,us,us
2018-07-23T13:48:30.160Z,-35.9718,144.2409,10,3,ml,,144,1.885,1.14,us,us2000gc5e,2018-10-09T16:43:32.040Z,"49km WNW of Echuca, Australia",earthquake,9.1,2,0.148,6,reviewed,us,us
2018-07-22T09:35:26.670Z,-10.8705,113.3061,10,4.2,mb,,76,2.526,1.22,us,us2000geki,2018-10-04T14:15:34.040Z,"267km SSW of Sidorukun, Indonesia",earthquake,5,1.9,0.136,15,reviewed,us,us
2018-07-09T12:45:32.590Z,-33.1295,138.5629,8.55,3.3,ml,,148,2.128,1.27,us,us2000g0qi,2018-10-02T16:40:31.040Z,"8km NNW of Jamestown, Australia",earthquake,8.4,7.5,0.256,2,reviewed,us,us
2018-07-01T02:27:39.470Z,-33.618,136.7729,10,3.9,ml,,167,1.003,0.39,us,us2000ftar,2018-09-21T16:25:58.040Z,"26km ENE of Cleve, Australia",earthquake,8,2,0.256,2,reviewed,us,us
2018-06-22T23:05:44.210Z,-11.6929,117.1144,8.87,4.5,mb,,101,4.331,1.44,us,us1000ez5q,2018-09-19T15:15:55.040Z,"South of Sumbawa, Indonesia",earthquake,6.9,4.5,0.102,28,reviewed,us,us
2018-06-20T02:54:32.190Z,-32.413,122.4811,8.11,4.5,mb,,74,4.45,0.69,us,us1000ew2s,2018-09-19T15:15:50.040Z,"170km NNE of Esperance, Australia",earthquake,7.3,4.5,0.145,14,reviewed,us,us
2018-06-18T06:26:49.110Z,-26.0891,121.5452,10,4.5,mb,,58,4.757,0.93,us,us1000eu88,2018-09-19T15:15:47.040Z,"294km NNW of Laverton, Australia",earthquake,8.6,1.9,0.18,9,reviewed,us,us
2018-05-19T14:03:06.250Z,-11.4457,117.3821,43.21,4.5,mb,,100,4.343,0.96,us,us1000e8jr,2018-08-15T19:46:58.040Z,"268km SW of Panenggoede, Indonesia",earthquake,6.9,6.8,0.099,30,reviewed,us,us
2018-05-16T22:48:48.590Z,-10.7228,115.0479,10,4.7,mb,,55,2.406,0.7,us,us1000e6v7,2018-08-15T19:46:54.040Z,"209km S of Kangin, Indonesia",earthquake,3.9,1.9,0.068,66,reviewed,us,us
2018-05-12T00:50:55.680Z,-28.7372,139.3171,10,4.4,mb,,42,3.697,0.78,us,us1000e750,2018-08-08T15:22:14.040Z,"South Australia",earthquake,8.5,2,0.18,9,reviewed,us,us
2018-05-07T00:32:22.090Z,-11.3362,118.6595,10,4.2,mb,,92,4.429,0.86,us,us1000e2xr,2018-08-08T15:20:42.040Z,"187km SSW of Kahale, Indonesia",earthquake,8.3,2,0.215,6,reviewed,us,us
2018-04-13T20:43:38.650Z,-11.4601,117.4895,10,4.1,mb,,112,4.431,1.08,us,us1000dnm0,2018-07-07T02:25:21.040Z,"261km SW of Panenggoede, Indonesia",earthquake,5,2,0.165,10,reviewed,us,us
2018-04-10T07:04:00.140Z,-11.6987,114.4511,10,4.4,mb,,81,3.221,0.49,us,us2000e1k6,2018-07-07T02:25:16.040Z,"South of Bali, Indonesia",earthquake,7.6,1.8,0.155,12,reviewed,us,us
2018-04-07T09:56:42.780Z,-10.709,117.287,10,4.8,mb,,91,3.808,0.59,us,us2000dvz9,2018-06-30T01:11:32.040Z,"210km SSE of Besisora, Indonesia",earthquake,3.3,1.9,0.076,54,reviewed,us,us
2018-03-23T19:39:05.090Z,-10.5263,123.6686,14.2,4.4,mb,,81,0.317,0.86,us,us1000daqe,2018-06-19T01:35:49.040Z,"40km SSE of Kupang, Indonesia",earthquake,3.2,4.6,0.149,15,reviewed,us,us
2018-03-01T17:45:03.180Z,-11.6461,116.2899,10,4.4,mb,,85,3.793,1.15,us,us1000d27v,2018-05-27T01:06:07.040Z,"South of Lombok, Indonesia",earthquake,8.1,1.9,0.135,16,reviewed,us,us
2018-01-10T21:31:56.280Z,-18.867,123.3303,10,4,mb,,168,2.321,1.39,us,us2000cnw0,2018-04-03T01:40:25.040Z,"152km SE of Broome, Australia",earthquake,7.9,2,0.3,3,reviewed,us,us
2017-12-21T18:08:25.780Z,-10.7883,113.6408,10,4.4,mb,,70,2.358,0.81,us,us1000c12y,2018-03-14T00:58:25.040Z,"248km SSW of Sidorukun, Indonesia",earthquake,10.3,1.9,0.13,17,reviewed,us,us
2017-12-17T10:54:01.460Z,-11.3604,118.6853,24.67,4.3,mb,,101,5.309,1.17,us,us1000bv23,2018-03-14T00:58:21.040Z,"189km SSW of Kahale, Indonesia",earthquake,4.6,8.2,0.154,12,reviewed,us,us
2017-11-23T14:02:22.930Z,-10.6303,120.346,35,4.1,mb,,79,2.721,1.6,us,us1000bjtn,2018-02-14T02:01:12.040Z,"49km SSE of Nggongi Satu, Indonesia",earthquake,9.2,2,0.146,13,reviewed,us,us
2017-10-13T17:46:07.470Z,-11.5819,117.1579,10,4.2,mb,,103,4.28,0.94,us,us1000aukw,2018-01-09T02:14:59.040Z,"296km SW of Panenggoede, Indonesia",earthquake,7.1,1.9,0.146,13,reviewed,us,us
2017-09-28T08:12:59.680Z,-10.7449,117.2263,10,4.7,mb,,97,3.781,1.08,us,us2000avte,2017-12-22T21:56:26.040Z,"213km SSE of Besisora, Indonesia",earthquake,6,1.9,0.133,17,reviewed,us,us
2017-09-25T22:59:44.190Z,-10.6682,115.85,39.69,4.3,mb,,110,2.752,1.11,us,us2000b0hj,2017-12-22T21:56:22.040Z,"201km SSW of Kute, Indonesia",earthquake,7.5,7.5,0.129,17,reviewed,us,us
2017-09-16T09:57:47.920Z,-10.8831,122.1193,38.93,4,mb,,112,1.66,0.52,us,us2000at4a,2017-12-13T02:29:46.040Z,"173km ESE of Mburukullu, Indonesia",earthquake,4.7,10.7,0.196,7,reviewed,us,us
2017-09-14T21:26:06.710Z,-12.9278,122.1651,10,4.4,mb,,75,3.766,1.33,us,us2000asl6,2017-12-13T02:29:44.040Z,"South of Timor",earthquake,5.2,1.9,0.155,12,reviewed,us,us
2017-09-01T03:47:34.730Z,-11.5035,112.7922,10,4.8,mb,,78,3.298,0.95,us,us2000adrc,2017-11-28T18:33:55.040Z,"South of Java, Indonesia",earthquake,7.4,1.8,0.075,56,reviewed,us,us
2017-08-31T17:45:29.040Z,-25.7102,129.9133,10,4.3,mb,,53,4.161,0.86,us,us2000arkc,2017-11-28T18:33:55.040Z,"Northern Territory, Australia",earthquake,3.9,2,0.239,5,reviewed,us,us
2017-08-06T04:21:50.710Z,-19.1146,128.0923,4.57,4.9,mb,,39,2.535,0.96,us,us2000a5b3,2017-10-25T00:37:59.040Z,"99km SSE of Halls Creek, Australia",earthquake,3.9,3.4,0.09,39,reviewed,us,us
2017-07-17T00:59:03.730Z,-11.5408,118.24,35,4.1,mb,,107,4.881,1.05,us,us20009z1g,2017-10-11T01:03:50.040Z,"224km SSW of Kahale, Indonesia",earthquake,9.6,2,0.175,9,reviewed,us,us
2017-07-15T21:27:26.350Z,-26.1405,131.9527,5.75,4.2,mb,,40,3.034,0.89,us,us20009yfa,2017-10-06T23:56:20.040Z,"South Australia",earthquake,6.3,6,0.216,6,reviewed,us,us
2017-07-06T01:48:02.390Z,-11.5515,118.2712,48.16,4.1,mb,,108,4.862,0.95,us,us1000994w,2017-10-03T00:47:50.040Z,"224km SSW of Kahale, Indonesia",earthquake,4.5,11,0.234,5,reviewed,us,us
2017-06-09T17:16:14.240Z,-22.2934,121.1969,10,4.5,mb,,81,1.444,1.05,us,us20009msa,2017-08-16T02:42:21.040Z,"191km NE of Newman, Australia",earthquake,6.8,2,0.204,7,reviewed,us,us
